3,0.000020,Brute Force,
3,0.000012,Dynamic Programming,
4,0.000057,Brute Force,
4,0.000020,Dynamic Programming,
5,0.000192,Brute Force,
5,0.000036,Dynamic Programming,
6,0.000918,Brute Force,
6,0.000047,Dynamic Programming,
7,0.007179,Brute Force,
7,0.000114,Dynamic Programming,
8,0.046366,Brute Force,
8,0.000165,Dynamic Programming,
9,0.326806,Brute Force,
9,0.000352,Dynamic Programming,
10,2.627307,Brute Force,
10,0.000542,Dynamic Programming,
11,24.926240,Brute Force,
11,0.001202,Dynamic Programming,
12,274.720095,Brute Force,
12,0.002581,Dynamic Programming,
13,3526.448395,Brute Force,
13,0.006553,Dynamic Programming,
14,0.016305,Dynamic Programming,
15,0.042694,Dynamic Programming,
16,0.096524,Dynamic Programming,
17,0.231571,Dynamic Programming,
18,0.580149,Dynamic Programming,
19,1.526935,Dynamic Programming,
20,3.326841,Dynamic Programming,
